ID,Mot_Vedette,Prononciation,Catégorie_Grammaticale,Classe_Nominale,Sens_ID,Définition,Traduction_Française,Catégorie_Grammaticale_Traduction_Française_Mot_Vedette,Phrase_Illustration,Traduction_Française_Phrase_Illustration
aada1,aada,a:dɐ,turu bokkaale,j-,aada1_1,li aw xeet cosaanoo di ko def,coutumes,nom,Sunu aada day bañ foot àllarba,Nos coutumes nous interdisent de faire le linge le mercredi
aadama1,aadama,a:dɐmɐ,turu bopp,,aadama1_1,"Turu nit ki Yàlla jëkk bind, ci jullit yi",Adam,nom,Sama mag Aadama la tudd.,Mon frère ainé s'appelle Adam.
Aadama1,Aadama,a:dɐmɐ,turu bopp,,Aadama1_1,"Turu nit ki yàlla jëkk bind, ci jullit yi",Adan,nom,Sama mag bu jigéen Aadama la tudd,Ma soeur ainée s'appelle Aadama
aajo1,aajo,a:ɟɔ,turu bokkaale,j-,aajo1_1,jikkoy kuy waatal nit ñi ci boppam,chaleur humaine,nom,Nit ku am aajo la.,C'est une personne chaleureuse.
aal1,aal,a:l,turu bokkaale,j-,aal1_1,yëg-yëg buy dikkal nit,possession,nom,"Suko aal ji dikkalee, kenn du ko mën tëye.","S'il est possédé, personne ne peut le tenir."
aal1,aal,a:l,turu bokkaale,j-,aal1_1,yëg-yëg buy dikkal nit,transe (AMD),nom,"Su ko aal ji dikkalee, kenn du ko mën tëye.","Quand il est en transe, personne ne peut le tenir."
aal1,aal,a:l,waxe-jëfin,,aal1_1,joxe loo mayewul,prêter,verbe,Sama mag moo ma aal téereem.,Mon grand frère m'a prêté son livre.
aar1,aar,a:r,waxe-jëfin,,aar1_1,fexe ba luy lore du yegsi,protéger,verbe,Waajur yi ñoo wara aar seen doom.,C'est aux parents de protéger leur enfant
aat1,aat,a:t˺,turu bokkaale,b-,aat1_1,góor gu nekk ci lël,circoncis,nom,"Ren, aat yi xale yu tuuti la ñu.","Cette année, les circoncis sont très jeunes. (AMD)"
aawlu1,aawlu,a:wlu,waxe-nekkin,,aawlu1_1,melokaanu ku lu ne di dal,porter la guigne,verbe,Sama rakk dafa aawlu.,Mon petit frère porte  la guigne.
aawo1,aawo,a:wɔ,turu bokkaale,b-,aawo1_1,jabar ji jëkk ci séyu kuje,première épouse d'un mariage polygamme,nom,Aawo bi lay faral di waxal.,Il a l'habitude de se confier à sa première épouse.
aay1,aay,a:y,waxe-jëfin,,aay1_1,bañ bokk,ne pas vouloir partager,verbe,Xale bi dafa aay ci ay fowukaayam.,Cet enfant ne partage pas ses jouets.
aay1,aay,a:y,waxe-jëfin,,aay1_1,mën lenn mën-mën bu wér,être talentueux,verbe,Xale bi dafa aay ci futbal.,Cet enfant est talentueux au football
aaye1,aaye,a:ye,waxe-jëfin,,aaye1_1,tere ku jëriñoo loo moom,refuser quelque chose à quelqu'un,verbe,Sama nijaay dafay aaye ku jaar ci toolam.,Mon oncle refuse que l'on passe par son champ.
abal1,abal,ɐbɐl,waxe-jëfin,,abal1_1,joxe loo mayewul,prêter,verbe,Sama mag moo ma abal téereem.,Mon grand frère m'a prêté son livre.
àdduna1,àdduna,ad:unɐ,turu bokkaale,b-,àdduna1_1,mbooleem nit ak li ko wër,monde (le),nom,Àdduna bi léegi dafa lëj.,Le monde est maintenant compliqué.
af1,af,ɐf,waxe-nekkin,,af1_1,melokaanu barab bu ñakk fegu ba ngelaw lu bare di fa tàbbi (amd),être ouvert à tous vents,verbe,Sama kër gi dafa af.,Ma maison est ouverte à tous vents.
àgg1,àgg,ag:ə,waxe-jëfin,,àgg1_1,jot sa jëmu,"atteindre, arriver",verbe,Dafay dem ba àgg këram soog di lekk.,C'est une fois arrivé chey lui qu'il a mangé.
agsi1,agsi,ɐgsi,waxe-jëfin,,agsi1_1,fekk ki ngay waxal fi mu nekk,arriver (dans un endroit); arriver à bo port (amd),verbe,Ki nga yónniwoon agsi na.,Celui que tu avais envoyé est bien arrivé.
aj1,aj,,,,aj1_1,,,,,
aj1,aj,ɐɟ˺,waxe-jëfin,,aj1_1,dem màkk ci santaane lislaam,Faire le pélerinage  de lieux saints,verbe,"Aj na daaw, dina dellu ren.","Il a fait le pélerinage l'année dernière, il y retourne cette année."
aj1,aj,ɐɟ˺,waxe-jëfin,,aj1_1,tekk fu kawe,placer en hauteur,verbe,Aj na téere bi ba xale bi du ko jot.,Il a placé le livre en hauteurde telle manière que l'enfant ne puisse l'atteindre (amd)
ajaa1,ajaa,ɐɟa:,turu bokkaale,b-,ajaa1_1,tur  bu nuy jox jigéen ju aj màkk,nom donné à une femme qui a fait le pélerinage musulman,nom,Sama yaay ajaa rekk la ñu koy woowe.,"Ma mère est toujours appelée ""ajaa""."
àjjana1,àjjana,aɟɐnɐ,turu bokkaale,j-,àjjana1_1,dëkkuwaayu defkatu lu baax bu dee ci jullit yi,paradis,nom,Àjjana la julit bi di ñaan.,Le paradis est l''espoir de tout musulman.
ajjuma1,ajjuma,aɟ:umɐ,turu bopp,j-,ajjuma1_1,juróomeelu bés ci ayu-bés,vendredi,nom,àjjuma lay faral di sol yére wolof.,le vendredi il a tendance à shabller à la sénégalaise. (amd)
ajoor1,ajoor,ɐɟɔ:r,turu bokkaale,b-,ajoor1_1,turu nit ku dëkk Kajoor,"nom donné aux originaires de la région sénégalaise du ""kayoor""",nom,Sama yaay ajoor la.,"Ma mère est originaire du ""Kayoor""."
akara1,akara,ɐkɐrɐ,turu bokkaale,j-,akara1_1,beñe ñebbe,bégnets à base de haricots,nom,Seen akara ji neex na.,"Vos ""akara"" sont bons."
alag1,alag,ɐlɐg˺,waxe-jëfin,,alag1_1,"jëriñoo, jublu ci yàq",utiliser sans aucun soin,verbe,Alag na kër gi ñu ko abal.,Il n'a pris aucun soin de la maison qu'on lui a prêté.
alal1,alal,ɐlɐl,turu bokkaale,j-,alal1_1,lu nit moom,biens,nom,Yàq na alal ji mu amoon.,il a dilapidé les biens qu'il avait (amd)
alamaan1,alamaan,ɐlɐma:n˺,waxe-jëfin,,alamaan1_1,daan/tekk nit lu mu wara fay,infliger une amende,verbe,Alkaati bi dafa ko alamaan.,L'agent de police lui a infligé une amende.
alamaan1,alamaan,ɐlɐma:n˺,turu bokkaale,b-,alamaan1_1,daan/ nattum xaalis bu ñu teg nit,amende,nom,Mënu ma fay alamaan bi.,Je ne peux pas payer l'amende.
alkaati1,alkaati,ɐlka:ti,turu bokkaale,b-,alkaati1_1,nit kuy liggéey ci polis,Agent de police,nom,Sama baay alkaati la.,Mon père est un agent de police.
almet1,almet,ɐlmɛt˺,turu bokkaale,b-,almet1_1,mbant su ñuy taale,allumette,nom,"Sa almet bi du tàkk, dafa tooy.",Ton allumette est mouillée et ne peut s'allumer.
aloom1,aloom,ɐlɔ:m˺,turu bokkaale,b-,aloom1_1,xeetu meñent mu ñu mëna lekk,fruit du Diospyros,nom,Xale bi dafa fori aloom.,L'enfant est parti ramasser des fruits de diospyros.
aloom1,aloom,ɐlɔ:m˺,turu bokkaale,g-,aloom1_1,garab giy meññ aloom,diospyros,nom,Gor nañu aloom gi nekkoon ci peñc mi.,On a coupe le diospyros qui était sur la place.
altine1,altine,ɐltine,turu bokkaale,j-,altine1_1,bés bi jiitu ci ayu-bés,lundi,nom,Altine jii di ñëw lay ñibbi.,Il rentre lundi prochain.
alxuraan1,alxuraan,ɐlxura:n˺,turu bokkaale,j-,alxuraan1_1,téere bi lislaam sukkandiku,coran,nom,Alxuraan ji du fu nekk lañu koy teg.,On ne peut poser le coran n'importe où.
am1,am,ɐm˺,waxe-nekkin,,am1_1,nekk gu ñu mën teg bët,exister,verbe,Jinne dafa am.,"Les ""jinn"" existent."
amal1,amal,ɐmɐl,waxe-jëfin,,amal1_1,sàkk lu amul,"créer, réaliser",verbe,Yàllaay amal.,C'est Dieu qui crée.
am-am1,am-am,ʔɐm˺ʔɐm˺,turu bokkaale,b-,am-am1_1,alal ji nit ki moom,avoir,nom,Sa am-am dana yokku soo bayyee yaq.,Ton avoir va augmenter si tu arrêtes de gaspiller.
am-di-jàmm1,am-di-jàmm,ɐmdiɟamᵊ,turu bokkaale,j-,am-di-jàmm1_1,nit bu ñu amal jàmm (amd),personne avec qui on a de bonnes relations,nom,Sama am-di-jàmm yëpp ñëw na ñu ci xew mi. (amd),Toutes mes relations sont venues à la fête. (amd)
ame1,ame,ɐme,waxe-jëfin,,ame1_1,yore dara ci jëmmam (amd),avoir sur soi,verbe,Foo ko fekk mu ngi ame gànnaay.,Il a toujours une arme sur lui.
ame1,ame,ɐme,waxe-jëfin,,ame1_1,téyé dara (amd),tenir,verbe,Na nga moytu gànnaay gi mu ame.,Il faudra faire attention à l'arme qu'il tient.
