mbirmi,tëggin,xeet,nettalin_fr,nettalin_wo
abal,[ʌbʌl],verbe transitif,prêter,Abal ma sa téeré.
able,[ʌble],verbe transitif,prêter (lorsque le destinataire n’est pas désigné),Jabar kenn du ko able.
afeer,[ʌfe:r],nom,affaire,Loolu sa afeer la.
ag,[ʌg],conjonction,"et, avec",Sama baay ag sama yaay.
agsi,[ʌgsi],verbe intransitif,"arriver, survenir",Xabaar bi agsi na démb.
aj,[ʌɉ],verbe,"placer en haut, percher",Faatu aj na laytanam.
aj,[ʌɉ],nom,pèlerinage,Aj gi jot na.
aju,[ʌɉu],verbe intransitif,s’accrocher,Sër bi aju na ci caru garab gi.
alal,[ʌlʌl],nom,"biens, fortune",Donn na alalu baayam.
alkaati,[ʌlka:ti],nom,gardien de la paix,Alkaati ba jàpp na sàcc.
aloor,[ʌlɔ:r],adverbe,alors,"Wax na ko ko, aloor, dina dem."
altine,[ʌltine],nom,lundi,Tey la altiné.
alxemes,[ʌlxemes],nom,jeudi,Alxemes kenn du jàngi alxuraan.
alxuraan,[ʌlxura:n],nom,le Coran,Jàng naa alxuraan.
am,[ʌm],verbe,avoir,Am naa kër.
am,[ʌm],verbe toujours à l'impératif,tiens ! tenez !,Am ! sa caabi.
am,[ʌm],,ou bien,Dangay dem am dangay toog ?
amal,[ʌmʌl],verbe intransitif,"créer, inventer, réaliser",Yàllaay amal.
am-am,[ʌmʌm],nom,"l’avoir, les biens",Am-am bu néew la.
amaana,[ʌma:nʌ],adverbe,"peut-être, sans doute",Amaana sa baay ñów tey.
am-di-jàmm,[ʌmdiɉam:],nom,personne avec qui on a de bons rapports et qui n’est pas nécessairement un ami ou un copain,Sama am-di-jàmm yépp teewe nañu ko.
ame,[ʌme],verbe transitif,"tenir, posséder",Loo ame ?
amerig,[ʌmerig],nom,Amérique,Waa amerig ñoo jëkk dem ci weer wi.
ameel,[ʌme:l],verbe transitif,"devoir, être débiteur",Ameeluma ko dara.
amiin,[ʌmi:n],nom,"formule de souhait, meme sens que amen",Yal na nga gaawa wér. Amiin !
am-ji-jàmm,[ʌmɉiɉam],nom,,
an,[ʌn],verbe transitif,"enlever un tas d’ordures, de sable etc",Anal suuf si.
ana,[ʌna],interjection,où est ? où sont ?,Ana Faatu ?
aniin,[ʌni:n],nom,maquillage bleu employé pour les lèvres et les paupières,Aniin ju jàpp rafet na.
and,[ʌnd],nom,brasero ou encensoir en terre cuite,Andu cuuraay ba toj na.
andaar,[ʌnda:r],nom,unité de mesure de graines équivalent à deux kilos environ,Faatu wol na ñaari andaari dugub.
añ,[ʌɲ],verbe intransitif,"manger à midi, déjeuner",Añal ba suur.
añ,[ʌɲ],nom,déjeuner (repas de la mi-journée),Toggul añ.
añaan,[ʌɲa:n],verbe,"être jaloux, envieux",Danga añaan.
araam,[ʌra:m],verbe,"être interdit par la religion, défendu, prohibé par une réglementation",Lekk yàppu mbaam araam na ci jullit.
aréén,[ʌre:n],nom,arachide,Aréen ji ñor na.
artu,[ʌrtu],verbe transitif,mettre en garde,Artu ko bala moo gaañu.
as,[ʌs],verbe transitif,"enlever du liquide d’un récipient avec un ustensile, écoper",Mool mi as na gaalam.
