mot_vedette,prononciation,catégorie_grammaticale,ex_wol,ex_fra
aada,[a:dʌ],nom,,
aadama,a:dɐmɐ,nom,,
Aadama,a:dɐmɐ,nom,,
aajo,[a:ɉɔ],nom,,
aal,a:l,nom,,
aal,a:l,verbe,,
aalim,[a:lim],nom,,
aar,[a:r],verbe,,
aat,a:t˺,nom,,
aawlu,a:wlu,adjectif,,
aawo,[a:wɔ],nom,,
aay,[a:j],verbe,,
aaya,[a:jʌ],nom,,
aaye,[a:je],verbe,,
aayoo,[a:jɔ:],verbe,,
abal,ɐbɐl,verbe,,
àbb,,,,
àbb,[ab:],verbe,,
able,[ʌble],verbe,,
àddina,,,,
àddina,[ad:inʌ],nom,,
àddu,,,,
àddu,[ad:u],verbe,,
àdduna,[ad:unʌ],nom,,
af,ɐf,adjectif,,
afeer,[ʌfe:r],nom,,
ag,[ʌg],conjonction,,
àgg,[ag:],verbe,,
agsi,,,,
agsi,[ʌgsi],verbe,,
ahankay,,,,
aj,,,,
aj,[ʌɉ],nom,,
aj,[ʌɉ],verbe,,
ajaa,ɐɟa:,nom,,
àjjana,[aɉ:ʌnʌ],nom,,
ajjuma,aɟ:umɐ,nom,,
àjjuma,[aɉ:umʌ],nom,,
ajoor,ɐɟɔ:r,nom,,
aju,,,,
aju,[ʌɉu],verbe,,
aka,,,,
akara,ɐkɐrɐ,nom,,
àkk,ak:,,,
àkk,[ak:],nom,,
àkk,[ak:],verbe,,
àkklaw,,,,
alaaji,,,,
alaaxira,,,,
alag,ɐlɐg˺,verbe,,
alal,[ʌlʌl],nom,,
alamaan,ɐlɐma:n˺,nom,,
alamaan,ɐlɐma:n˺,verbe,,
alkaati,[ʌlka:ti],nom,,
àll,,,,
àll,[al:],nom,,
allaaji,,,,
allaaxira,,,,
àllaaxira,,,,
àllaaxira,[al:a:xirʌ],nom,,
àllarba,[al:ʌrbʌ],nom,,
àlluwa,,,,
àlluwa,[al:uwʌ],nom,,
almaami,,,,
almet,ɐlmɛt˺,nom,,
aloom,ɐlɔ:m˺,nom,,
aloor,[ʌlɔ:r],adverbe,,
altine,[ʌltine],nom,,
alxemes,[ʌlxemes],nom,,
alxuraan,[ʌlxura:n],nom,,
am,[ʌm],,,
am,ɐm˺,adjectif,,
am,[ʌm],verbe,,
amaana,ʔɐma:nɐ,,,
amaana,[ʌma:nʌ],adverbe,,
amal,[ʌmʌl],verbe,,
am-am,[ʌmʌm],nom,,
am-di-jàmm,[ʌmdiɉam:],nom,,
ame,[ʌme],verbe,,
ameel,[ʌme:l],verbe,,
amerig,[ʌmerig],nom,,
amiin,,,,
amiin,[ʌmi:n],nom,,
am-ji-jàmm,[ʌmɉiɉam],nom,,
an,[ʌn],verbe,,
añ,[ʌɲ],nom,,
añ,[ʌɲ],verbe,,
ana,,,,
ana,[ʌna],interjection,,
añaan,ɐɲa:n',adjectif,,
añaan,[ʌɲa:n],verbe,,
anam,ɐnam˺,nom,,
and,[ʌnd],nom,,
ànd,,,,
ànd,[and],nom,,
ànd,[and],verbe,,
andaar,[ʌnda:r],nom,,
àndandoo,,,,
àndandoo,[andʌndɔ],nom,,
àndandoo,[andʌndɔ:],verbe,,
aniin,[ʌni:n],nom,,
aniinu,ɐni:nu,,,
aññaan,ɐɲ:a:n,,,
àntu,,,,
àpp,[ap:],nom,,
àppaat,,,,
àppaat,[ap:a:t],verbe,,
àppal,[ap:ʌl],verbe,,
àq,,,,
àq,[aq],nom,,
araam,ɐra:m˺,adjectif,,
araam,[ʌra:m],verbe,,
araf,ɐrɐf,nom,,
araw,ɐrɐw,verbe,,
arbiis,ɐrbi:s,,,
aréen,,,,
aréén,[ʌre:n],nom,,
artu,,,,
artu,[ʌrtu],verbe,,
as,[ʌs],verbe,,
asaka,,,,
asaka,[ʌsʌkʌ],nom,,
asamaan,,,,
asamaan,[ʌsʌma:n],nom,,
aseer,[ʌse:r],nom,,
aset,[ʌset],nom,,
askan,,,,
askan,[ʌskʌn],nom,,
astafurlaa,[ʌstʌfurla:],,,
at,,,,
at,[ʌt],nom,,
attaaya,,,,
àttaaya,[at:a:jʌ],nom,,
àttan,,,,
àttan,[at:ʌn],verbe,,
àtte,,,,
àtte,[at:e],nom,,
àtte,[at:e],verbe,,
aw,,,,
aw,[ʌw],verbe,,
awokaa,,,,
awra,,,,
awu,,,,
ax,[ʌx],interjection,,
ay,,,,
ay,[ʌj],nom,,
ayca,,,,
ayca,[ʌjcʌ],interjection,,
ayib,,,,
ayubés,[ʌjubes],nom,,
aywa,[ʌjwʌ],interjection,,
ba,,,,
ba,[bʌ],conjonction,,
ba,[bʌ],verbe,,
baÅ‹,,,,
baadoolo,,,,
baadoolo,[ba:dɔ:lɔ],nom,,
baag,,,,
baag,[ba:g],nom,,
baagante,,,,
baagante,[ba:gʌnte],verbe,,
baal,,,,
baal,[ba:l],nom,,
baal,[ba:l],verbe,,
baam,,,,
baamtu,,,,
baana-baana,[ba:nʌba:nʌ],nom,,
baane,,,,
baaŋ,ba:ŋ',,,
baar,,,,
baaraam,,,,
baaraam,[ba:ra:m],nom,,
baaral,[ba:rʌl],verbe,,
baaru,[ba:ru],verbe,,
baase,[ba:se],nom,,
baasi,[ba:si],nom,,
baat,,,,
baat,[ba:t],nom,,
baatin,,,,
baawaan,,,,
baax,,,,
baax,[ba:x],nom,,
baax,[ba:x],verbe,,
baaxe,,,,
baaxoñ,,,,
baay,,,,
baay,[ba:j],nom,,
baayo,[ba:jɔ],nom,,
baayo,[ba:jɔ],verbe,,
bàcc,,,,
bàcc,[bac:],nom,,
bàcc,[bac:],verbe,,
bag,bɐg',,,
bagaan,[bʌga:n],nom,,
bagaas,,,,
bagaas,[bʌga:s],nom,,
bàjjan,[baɉ:ʌn],nom,,
bàjjen,,,,
bàjjen,[baɉen],nom,,
bàjjo,,,,
bàkk,,,,
bàkk,[bak:],nom,,
bàkk,[bak:],verbe,,
bàkkaar,,,,
bakkan,,,,
bakkan,[bʌk:ʌn],nom,,
bal,[bʌl],nom,,
bala,,,,
bala,[bʌlʌ],conjonction,,
balaa,,,,
bale,[bʌle],nom,,
bale,[bʌle],verbe,,
balekat,[bʌlekʌt],nom,,
ball,[bʌl:],verbe,,
ballarñi,,,,
bàmbara,,,,
bàmmeel,,,,
bàmmeel,[bam:e:l],nom,,
ban,,,,
ban,[bʌn],nom,,
bañ,,,,
bañ,[bʌɲ],verbe,,
bandang,,,,
bànjóoli,,,,
bank,,,,
bank,[bʌŋk],verbe,,
bànk,,,,
bànk,[baŋk],nom,,
bànk,[baŋk],verbe,,
bànneex,,,,
bànneex,[ban:e:x],nom,,
bànqaas,[baŋqa:s],nom,,
bant,,,,
bant,[bʌnt],nom,,
bantu-suukar,bantusu:kɐr,,,
baŋ,,,,
bàqaar,,,,
baqata,,,,
bar,,,,
bar,[bʌr],nom,,
bar,[bʌr],verbe,,
baraada,,,,
baraag,[bʌra:g],nom,,
barab,,,,
baram,[bʌrʌm],verbe,,
baramu,[bʌrʌmu],verbe,,
barastiku,,,,
bare,,,,
bare,[bʌre],verbe,,
bari,,,,
bari,[bʌri],verbe,,
barigo,,,,
barigó,[bʌrigɔ],nom,,
barke,,,,
barke,[bʌrke],nom,,
barkeel,[bʌrke:l],verbe,,
basa,[bʌsʌŋ],nom,,
basaŋ,,,,
basi,[bʌsi],nom,,
bataaxal,,,,
bataaxal,[bʌta:xʌl],nom,,
bàttu,[bat:u],nom,,
bawol,,,,
bawol,[bʌwɔl],nom,,
bawoo,,,,
bawoo,[bʌwɔ:],verbe,,
bax,,,,
bax,[bʌx],verbe,,
baxa,,,,
baxa,[bʌxʌ],verbe,,
baxal,[bʌxʌl],verbe,,
baxañ,,,,
baxaw,,,,
baxaw,[bʌxʌw],nom,,
baxaw,[bʌxʌw],verbe,,
bay,,,,
bayaal,,,,
bayaal,[bʌja:l],nom,,
bàyyeku,,,,
bàyyi,,,,
bàyyi,[baj:i],verbe,,
bàyyikoo,,,,
bàyyiku,,,,
bayyima,,,,
bàyyima,[baj:imʌ],nom,,
be,,,,
be,[be],conjonction,,
bë,,,,
béb,,,,
bëccëg,,,,
bëccëg,[bəc:əg],nom,,
beddiku,,,,
bedees,,,,
beeg,,,,
bëegam,,,,
béek,,,,
been,,,,
beeñ,,,,
béen,,,,
béer,,,,
beere,,,,
béeroo,,,,
bees,,,,
bees,[be:s],verbe,,
beew,[be:w],verbe,,
béey,,,,
bég,,,,
bég,[beg],verbe,,
bëg,,,,
bégal,,,,
bégalee,,,,
bëgg,,,,
bëgg,[bəg:],verbe,,
begga,,,,
bëgga,,,,
bëgg-bëgg,[bəg:bəg:],nom,,
bëgge,,,,
bëggé,[bəg:e],verbe,,
beggee,,,,
bëggee,,,,
bëggu,,,,
bégloo,,,,
bégue,,,,
bëj,,,,
bején,,,,
bëjj,,,,
béjjén,[beɉ:en],nom,,
béjjën,,,,
bëk,,,,
bekk,[bek:],nom,,
bëkk,,,,
bëkk-démb,[bək:demb],adverbe,,
bekki,,,,
bëkk-néeg,[bək:ne:g],nom,,
bëkknéeg,,,,
bekkoor,,,,
bekkoor,[bek:ɔ:r],nom,,
bëluus,,,,
bëmb,,,,
bëmëx,,,,
bëmëx,[bəməx],verbe,,
ben,,,,
bën,,,,
bëñ,gəɲ',,,
bëñ,[bəɲ],nom,,
bëñam,,,,
bën-bën,[bənbən],nom,,
bëndëŋ,,,,
beñe,,,,
beñe,[beɲe],nom,,
beneen,,,,
béneen,,,,
bëni,,,,
bëñi,,,,
benn,,,,
benn,[ben:],numéral,,
bënn,,,,
bënn,[bən:],verbe,,
bennal,,,,
benneel,,,,
benneeli,,,,
benni,,,,
bénni,,,,
bennoo,,,,
bénteñe,,,,
bénteñee,,,,
bëñu,,,,
beñwaar,,,,
bepp,,,,
bépp,,,,
ber,,,,
ber,[ber],verbe,,
bër,,,,
bër,[bər],verbe,,
beraate,,,,
beral,,,,
bëre,,,,
bëré,,,,
bëré,[bəre],nom,,
bëré,[bəre],verbe,,
béréb,[bereb],nom,,
bérëb,,,,
bérëbu,,,,
bëree,,,,
bëreji,,,,
berele,,,,
bërëŋ,[bərəŋ],verbe,,
bërëŋu,,,,
bërës,,,,
bëresi,,,,
berët,,,,
bérét,,,,
bëret,,,,
bërét,,,,
bërete,,,,
bërét /né/,[bəret],coverbe,,
bërgël,[bərgəl],verbe,,
bëri,,,,
bërki-démb,[bərkidemb],adverbe,,
berna,,,,
berndeel,[bernde:l],verbe,,
berndeele,,,,
beroog,,,,
beru,,,,
bés,,,,
bés,[bes],nom,,
bës,,,,
bësal,,,,
bët,bət',,,
bët,[bət],nom,,
bëtam,,,,
beteex,[bete:x],nom,,
bëtek,,,,
bëti,,,,
bëtóor,,,,
bett,,,,
bett,[bet:],verbe,,
bëtt,,,,
bëtt,[bət:],verbe,,
betteex,,,,
bettu,,,,
betu,,,,
bew,[bew],verbe,,
bey,[bej],,,
béy,,,,
béy,[bej],nom,,
bëy,,,,
bëy,[bəj],nom,,
beyal,,,,
beykat,,,,
beykat,[bejkʌt],nom,,
béyoo,,,,
beysi,,,,
beytee,,,,
beyti,,,,
bg,,,,
bgg,,,,
bggut,,,,
bi,,,,
bi,[bi],conjonction,,
biddaa,[bid:a:],nom,,
biddanti,,,,
biddéew,[bid:e:w],nom,,
biddënti,[bid:ənti],verbe,,
biddiiw,,,,
biddiiw,[bid:i:w],nom,,
bidoŋ,,,,
bien,,,,
bif,,,,
bif,[bif],verbe,,
bii,,,,
biig,,,,
biig,[bi:g],adverbe,,
biigee,,,,
